,Open,High,Low,Close,Volume,Time,Date,Signal
10000,1.11632,1.11669,1.11597,1.11657,3048,8/11/2016 9:00,8/11/2016 9:00,0
10001,1.11657,1.11689,1.11404,1.11476,6140,8/11/2016 10:00,8/11/2016 10:00,0
10002,1.11477,1.11486,1.11361,1.11425,5305,8/11/2016 11:00,8/11/2016 11:00,0
10003,1.11424,1.11502,1.11415,1.1145,4216,8/11/2016 12:00,8/11/2016 12:00,0
10004,1.1145,1.11485,1.11371,1.11469,4376,8/11/2016 13:00,8/11/2016 13:00,0
10005,1.11468,1.11537,1.11408,1.11459,4039,8/11/2016 14:00,8/11/2016 14:00,0
10006,1.1146,1.11604,1.11455,1.11561,4876,8/11/2016 15:00,8/11/2016 15:00,0
10007,1.11557,1.11674,1.11503,1.11658,4584,8/11/2016 16:00,8/11/2016 16:00,0
10008,1.11659,1.11787,1.11645,1.11773,5613,8/11/2016 17:00,8/11/2016 17:00,0
10009,1.11773,1.11814,1.11667,1.11675,4604,8/11/2016 18:00,8/11/2016 18:00,0
10010,1.11674,1.11679,1.11523,1.11567,3791,8/11/2016 19:00,8/11/2016 19:00,0
10011,1.11566,1.11577,1.11391,1.11393,2717,8/11/2016 20:00,8/11/2016 20:00,0
10012,1.11392,1.11433,1.11363,1.11422,2393,8/11/2016 21:00,8/11/2016 21:00,0
10013,1.11424,1.1146,1.11393,1.11402,1937,8/11/2016 22:00,8/11/2016 22:00,0
10014,1.11401,1.11403,1.11345,1.11361,1238,8/11/2016 23:00,8/11/2016 23:00,0
10015,1.11364,1.11414,1.11345,1.11408,444,8/12/2016 0:00,8/12/2016 0:00,0
10016,1.11405,1.11407,1.11359,1.11387,2174,8/12/2016 1:00,8/12/2016 1:00,0
10017,1.11384,1.11387,1.11348,1.11375,1111,8/12/2016 2:00,8/12/2016 2:00,0
10018,1.11373,1.11426,1.11304,1.11337,2156,8/12/2016 3:00,8/12/2016 3:00,0
10019,1.11339,1.11392,1.11328,1.11377,1395,8/12/2016 4:00,8/12/2016 4:00,0
10020,1.11375,1.11397,1.11345,1.11384,1313,8/12/2016 5:00,8/12/2016 5:00,1
10021,1.11384,1.11436,1.11382,1.11397,893,8/12/2016 6:00,8/12/2016 6:00,0
10022,1.11396,1.11397,1.11345,1.1139,1049,8/12/2016 7:00,8/12/2016 7:00,0
10023,1.11389,1.11424,1.11373,1.1141,1195,8/12/2016 8:00,8/12/2016 8:00,0
10024,1.11416,1.11445,1.11338,1.11415,3375,8/12/2016 9:00,8/12/2016 9:00,0
10025,1.11415,1.11555,1.11385,1.11437,5172,8/12/2016 10:00,8/12/2016 10:00,0
10026,1.11437,1.11584,1.11435,1.11538,4345,8/12/2016 11:00,8/12/2016 11:00,0
10027,1.1154,1.1156,1.11442,1.11487,4097,8/12/2016 12:00,8/12/2016 12:00,0
10028,1.11488,1.1156,1.11465,1.1153,3122,8/12/2016 13:00,8/12/2016 13:00,0
10029,1.11532,1.11539,1.1147,1.11494,2689,8/12/2016 14:00,8/12/2016 14:00,0
10030,1.11497,1.12205,1.11493,1.12082,9008,8/12/2016 15:00,8/12/2016 15:00,0
10031,1.12083,1.12097,1.11841,1.11953,8494,8/12/2016 16:00,8/12/2016 16:00,0
10032,1.11951,1.12029,1.11679,1.11778,7853,8/12/2016 17:00,8/12/2016 17:00,0
10033,1.11777,1.11836,1.11696,1.11707,4410,8/12/2016 18:00,8/12/2016 18:00,0
10034,1.11709,1.11713,1.11658,1.11675,3675,8/12/2016 19:00,8/12/2016 19:00,0
10035,1.11676,1.11721,1.11641,1.11641,1989,8/12/2016 20:00,8/12/2016 20:00,0
10036,1.11642,1.11713,1.11581,1.11624,1820,8/12/2016 21:00,8/12/2016 21:00,0
10037,1.11624,1.11639,1.11595,1.11608,1675,8/12/2016 22:00,8/12/2016 22:00,0
10038,1.11609,1.11657,1.11588,1.11628,1448,8/12/2016 23:00,8/12/2016 23:00,0
10039,1.11664,1.11682,1.11658,1.11669,493,8/15/2016 0:00,8/15/2016 0:00,0
10040,1.11669,1.11676,1.11577,1.11612,2094,8/15/2016 1:00,8/15/2016 1:00,0
10041,1.11611,1.11648,1.11565,1.11635,1944,8/15/2016 2:00,8/15/2016 2:00,0
10042,1.11636,1.1164,1.11528,1.11548,1660,8/15/2016 3:00,8/15/2016 3:00,0
10043,1.11549,1.11582,1.11541,1.11545,1581,8/15/2016 4:00,8/15/2016 4:00,0
10044,1.11545,1.11566,1.11535,1.11549,1296,8/15/2016 5:00,8/15/2016 5:00,0
10045,1.1155,1.11589,1.1155,1.11575,892,8/15/2016 6:00,8/15/2016 6:00,0
10046,1.11574,1.11606,1.11567,1.11575,822,8/15/2016 7:00,8/15/2016 7:00,0
10047,1.11574,1.11616,1.11558,1.11612,1082,8/15/2016 8:00,8/15/2016 8:00,0
10048,1.11612,1.11686,1.11574,1.11668,2579,8/15/2016 9:00,8/15/2016 9:00,0
10049,1.11667,1.11754,1.11641,1.11729,4893,8/15/2016 10:00,8/15/2016 10:00,0
10050,1.11728,1.1175,1.11642,1.11675,4030,8/15/2016 11:00,8/15/2016 11:00,0
10051,1.11676,1.11708,1.11651,1.11654,3303,8/15/2016 12:00,8/15/2016 12:00,0
10052,1.11655,1.11739,1.11647,1.11693,2460,8/15/2016 13:00,8/15/2016 13:00,0
10053,1.11693,1.11833,1.11666,1.11823,3590,8/15/2016 14:00,8/15/2016 14:00,0
10054,1.11822,1.11856,1.11734,1.11735,5925,8/15/2016 15:00,8/15/2016 15:00,0
10055,1.11735,1.11958,1.11706,1.11896,5198,8/15/2016 16:00,8/15/2016 16:00,0
10056,1.11895,1.12028,1.11832,1.11957,5241,8/15/2016 17:00,8/15/2016 17:00,0
10057,1.11958,1.11993,1.11915,1.11976,4083,8/15/2016 18:00,8/15/2016 18:00,0
10058,1.11977,1.11993,1.11797,1.11805,2260,8/15/2016 19:00,8/15/2016 19:00,0
10059,1.11805,1.11855,1.11804,1.11846,1209,8/15/2016 20:00,8/15/2016 20:00,0
10060,1.11847,1.11849,1.11808,1.11813,1214,8/15/2016 21:00,8/15/2016 21:00,0
10061,1.11814,1.11854,1.11806,1.11851,1046,8/15/2016 22:00,8/15/2016 22:00,0
10062,1.1185,1.11858,1.11803,1.11821,1040,8/15/2016 23:00,8/15/2016 23:00,0
10063,1.11823,1.11853,1.11812,1.11833,350,8/16/2016 0:00,8/16/2016 0:00,0
10064,1.11833,1.11864,1.11827,1.1185,1204,8/16/2016 1:00,8/16/2016 1:00,0
10065,1.11851,1.11856,1.11791,1.11811,959,8/16/2016 2:00,8/16/2016 2:00,0
10066,1.11812,1.11826,1.11766,1.11801,1651,8/16/2016 3:00,8/16/2016 3:00,0
10067,1.118,1.11836,1.11789,1.11797,1465,8/16/2016 4:00,8/16/2016 4:00,0
10068,1.11797,1.11893,1.11787,1.11878,2102,8/16/2016 5:00,8/16/2016 5:00,0
10069,1.11878,1.11991,1.11869,1.11946,2010,8/16/2016 6:00,8/16/2016 6:00,0
10070,1.11947,1.1199,1.11915,1.11984,1394,8/16/2016 7:00,8/16/2016 7:00,0
10071,1.11984,1.12148,1.11983,1.12142,3033,8/16/2016 8:00,8/16/2016 8:00,0
10072,1.12142,1.12479,1.1213,1.1241,7285,8/16/2016 9:00,8/16/2016 9:00,0
10073,1.12412,1.12719,1.12311,1.12693,8018,8/16/2016 10:00,8/16/2016 10:00,0
10074,1.12695,1.12758,1.12554,1.12574,6712,8/16/2016 11:00,8/16/2016 11:00,0
10075,1.12575,1.12739,1.12543,1.12713,5549,8/16/2016 12:00,8/16/2016 12:00,0
10076,1.12711,1.12791,1.12618,1.1276,5290,8/16/2016 13:00,8/16/2016 13:00,0
10077,1.12759,1.12992,1.12737,1.12936,6411,8/16/2016 14:00,8/16/2016 14:00,0
10078,1.12935,1.13218,1.12608,1.12784,10152,8/16/2016 15:00,8/16/2016 15:00,0
10079,1.12783,1.12873,1.12452,1.12698,10009,8/16/2016 16:00,8/16/2016 16:00,0
10080,1.12696,1.12827,1.12582,1.12593,7991,8/16/2016 17:00,8/16/2016 17:00,0
10081,1.12591,1.12834,1.12573,1.12754,5441,8/16/2016 18:00,8/16/2016 18:00,0
10082,1.12753,1.12793,1.12637,1.12684,3260,8/16/2016 19:00,8/16/2016 19:00,0
10083,1.12683,1.12801,1.12679,1.12798,2791,8/16/2016 20:00,8/16/2016 20:00,0
10084,1.12795,1.12808,1.1273,1.12757,1854,8/16/2016 21:00,8/16/2016 21:00,0
10085,1.12758,1.12785,1.1273,1.12778,1682,8/16/2016 22:00,8/16/2016 22:00,0
10086,1.12779,1.12798,1.1275,1.12776,1363,8/16/2016 23:00,8/16/2016 23:00,0
10087,1.12774,1.12789,1.12733,1.12739,354,8/17/2016 0:00,8/17/2016 0:00,0
10088,1.12743,1.12803,1.12742,1.12763,2068,8/17/2016 1:00,8/17/2016 1:00,0
10089,1.12763,1.12776,1.12722,1.12752,1182,8/17/2016 2:00,8/17/2016 2:00,0
10090,1.12753,1.12817,1.1272,1.12787,2989,8/17/2016 3:00,8/17/2016 3:00,0
10091,1.12788,1.12894,1.12786,1.12829,2454,8/17/2016 4:00,8/17/2016 4:00,0
10092,1.1283,1.1283,1.12704,1.12724,1847,8/17/2016 5:00,8/17/2016 5:00,0
10093,1.12723,1.12752,1.12712,1.12728,1331,8/17/2016 6:00,8/17/2016 6:00,0
10094,1.12727,1.1275,1.12646,1.12661,2255,8/17/2016 7:00,8/17/2016 7:00,0
10095,1.12664,1.12665,1.1257,1.12633,2950,8/17/2016 8:00,8/17/2016 8:00,0
10096,1.12633,1.12719,1.12552,1.12604,4575,8/17/2016 9:00,8/17/2016 9:00,0
10097,1.12603,1.12723,1.12549,1.1269,5929,8/17/2016 10:00,8/17/2016 10:00,0
10098,1.1269,1.12761,1.12544,1.1256,6375,8/17/2016 11:00,8/17/2016 11:00,0
