,Open,High,Low,Close,Volume,Time,Date,Signal
0,1.13538,1.13552,1.13449,1.13533,4641,10/21/2015 15:00,10/21/2015 15:00,0
1,1.13535,1.13547,1.13409,1.13433,5495,10/21/2015 16:00,10/21/2015 16:00,0
2,1.13432,1.1355,1.13364,1.13549,7198,10/21/2015 17:00,10/21/2015 17:00,0
3,1.13548,1.13632,1.13401,1.13442,5479,10/21/2015 18:00,10/21/2015 18:00,0
4,1.13441,1.13527,1.13384,1.13449,3049,10/21/2015 19:00,10/21/2015 19:00,-1
5,1.13451,1.13541,1.13378,1.13388,3443,10/21/2015 20:00,10/21/2015 20:00,0
6,1.13391,1.13451,1.1335,1.13378,2868,10/21/2015 21:00,10/21/2015 21:00,0
7,1.13381,1.13437,1.13349,1.13379,2468,10/21/2015 22:00,10/21/2015 22:00,0
8,1.13382,1.13421,1.13374,1.13379,1146,10/21/2015 23:00,10/21/2015 23:00,0
9,1.13379,1.13395,1.13355,1.13368,448,10/22/2015 0:00,10/22/2015 0:00,0
10,1.13367,1.13414,1.13367,1.13404,775,10/22/2015 1:00,10/22/2015 1:00,0
11,1.13404,1.13474,1.13384,1.13451,913,10/22/2015 2:00,10/22/2015 2:00,0
12,1.13451,1.13456,1.1329,1.13348,2154,10/22/2015 3:00,10/22/2015 3:00,0
13,1.13347,1.13504,1.13346,1.13429,1863,10/22/2015 4:00,10/22/2015 4:00,0
14,1.13429,1.13468,1.13403,1.13444,1514,10/22/2015 5:00,10/22/2015 5:00,0
15,1.13445,1.13486,1.13436,1.13472,1397,10/22/2015 6:00,10/22/2015 6:00,0
16,1.13471,1.13472,1.1335,1.13353,2738,10/22/2015 7:00,10/22/2015 7:00,0
17,1.13354,1.13374,1.13261,1.13269,2410,10/22/2015 8:00,10/22/2015 8:00,0
18,1.13269,1.13433,1.13263,1.13395,3912,10/22/2015 9:00,10/22/2015 9:00,0
19,1.13395,1.13449,1.13076,1.13124,6784,10/22/2015 10:00,10/22/2015 10:00,0
