,Open,High,Low,Close,Volume,Time,Date,Signal
60000,1.10828,1.10836,1.10743,1.10782,3091,8/29/2024 21:00,8/29/2024 21:00,0
60001,1.10782,1.10803,1.10737,1.10748,2153,8/29/2024 22:00,8/29/2024 22:00,0
60002,1.10745,1.10781,1.1074,1.10759,832,8/29/2024 23:00,8/29/2024 23:00,0
60003,1.10755,1.10784,1.10706,1.10767,311,8/30/2024 0:00,8/30/2024 0:00,0
60004,1.10771,1.10791,1.10763,1.10789,381,8/30/2024 1:00,8/30/2024 1:00,0
60005,1.10789,1.10822,1.10778,1.10792,647,8/30/2024 2:00,8/30/2024 2:00,0
60006,1.10793,1.10819,1.10779,1.10797,1037,8/30/2024 3:00,8/30/2024 3:00,0
60007,1.10797,1.10811,1.10706,1.10706,1522,8/30/2024 4:00,8/30/2024 4:00,0
60008,1.10707,1.10726,1.10689,1.10711,834,8/30/2024 5:00,8/30/2024 5:00,0
60009,1.10711,1.10754,1.10703,1.10728,803,8/30/2024 6:00,8/30/2024 6:00,0
60010,1.10727,1.10765,1.10709,1.10731,850,8/30/2024 7:00,8/30/2024 7:00,0
60011,1.10731,1.1077,1.10726,1.1076,1215,8/30/2024 8:00,8/30/2024 8:00,0
60012,1.10759,1.10845,1.10734,1.1084,2400,8/30/2024 9:00,8/30/2024 9:00,0
60013,1.10841,1.1088,1.10742,1.10831,3357,8/30/2024 10:00,8/30/2024 10:00,0
60014,1.10831,1.1094,1.10725,1.10738,3396,8/30/2024 11:00,8/30/2024 11:00,-1
60015,1.10738,1.10845,1.10736,1.10818,3136,8/30/2024 12:00,8/30/2024 12:00,0
60016,1.10818,1.10834,1.10734,1.10782,2751,8/30/2024 13:00,8/30/2024 13:00,0
60017,1.10784,1.10873,1.10773,1.10805,2750,8/30/2024 14:00,8/30/2024 14:00,0
60018,1.10805,1.10871,1.10568,1.1067,6255,8/30/2024 15:00,8/30/2024 15:00,0
60019,1.10673,1.10748,1.10528,1.1071,7443,8/30/2024 16:00,8/30/2024 16:00,0
60020,1.10714,1.10791,1.10608,1.10677,8278,8/30/2024 17:00,8/30/2024 17:00,0
60021,1.10677,1.10711,1.10521,1.10589,4660,8/30/2024 18:00,8/30/2024 18:00,0
60022,1.10588,1.10588,1.10429,1.10486,3859,8/30/2024 19:00,8/30/2024 19:00,0
60023,1.10486,1.10558,1.10474,1.10514,2318,8/30/2024 20:00,8/30/2024 20:00,0
60024,1.10514,1.10553,1.10486,1.10509,2198,8/30/2024 21:00,8/30/2024 21:00,0
60025,1.10509,1.10538,1.10464,1.10516,2595,8/30/2024 22:00,8/30/2024 22:00,0
