,Open,High,Low,Close,Volume,Time,Date,Signal
50000,1.08917,1.09021,1.08917,1.08976,1649,1/23/2023 5:00,1/23/2023 5:00,0
50001,1.08977,1.08978,1.08883,1.08939,1570,1/23/2023 6:00,1/23/2023 6:00,0
50002,1.08938,1.08974,1.08893,1.08914,1652,1/23/2023 7:00,1/23/2023 7:00,0
50003,1.08913,1.09109,1.08864,1.08997,3276,1/23/2023 8:00,1/23/2023 8:00,0
50004,1.08997,1.09191,1.08912,1.09134,4249,1/23/2023 9:00,1/23/2023 9:00,0
50005,1.09133,1.09144,1.08923,1.08989,4430,1/23/2023 10:00,1/23/2023 10:00,0
50006,1.08989,1.09196,1.08923,1.09107,3664,1/23/2023 11:00,1/23/2023 11:00,-1
50007,1.09107,1.09146,1.08947,1.08983,3362,1/23/2023 12:00,1/23/2023 12:00,0
50008,1.08983,1.09018,1.0878,1.08805,3922,1/23/2023 13:00,1/23/2023 13:00,0
50009,1.08804,1.08822,1.08659,1.08703,4362,1/23/2023 14:00,1/23/2023 14:00,0
50010,1.08702,1.08769,1.08525,1.08581,4825,1/23/2023 15:00,1/23/2023 15:00,0
50011,1.0858,1.08672,1.08454,1.08608,5087,1/23/2023 16:00,1/23/2023 16:00,0
50012,1.08608,1.08682,1.08464,1.08639,5322,1/23/2023 17:00,1/23/2023 17:00,0
50013,1.0864,1.0875,1.0859,1.08631,5148,1/23/2023 18:00,1/23/2023 18:00,0
50014,1.08631,1.08641,1.0856,1.08617,3272,1/23/2023 19:00,1/23/2023 19:00,0
50015,1.08617,1.08722,1.08614,1.08654,2983,1/23/2023 20:00,1/23/2023 20:00,0
50016,1.08655,1.08665,1.08467,1.08581,3711,1/23/2023 21:00,1/23/2023 21:00,0
50017,1.08582,1.08674,1.08562,1.08673,4527,1/23/2023 22:00,1/23/2023 22:00,0
50018,1.08671,1.08712,1.08642,1.08709,1237,1/23/2023 23:00,1/23/2023 23:00,0
50019,1.08702,1.08707,1.08656,1.08691,238,1/24/2023 0:00,1/24/2023 0:00,0
50020,1.0869,1.08752,1.08669,1.08704,1367,1/24/2023 1:00,1/24/2023 1:00,0
50021,1.08705,1.08739,1.08668,1.08727,1920,1/24/2023 2:00,1/24/2023 2:00,0
50022,1.08729,1.08819,1.08709,1.088,1757,1/24/2023 3:00,1/24/2023 3:00,0
50023,1.088,1.08822,1.08768,1.08781,1342,1/24/2023 4:00,1/24/2023 4:00,0
50024,1.08781,1.08794,1.08722,1.08737,1246,1/24/2023 5:00,1/24/2023 5:00,0
50025,1.08736,1.08756,1.08685,1.08756,1165,1/24/2023 6:00,1/24/2023 6:00,0
50026,1.08755,1.08817,1.08747,1.08774,1209,1/24/2023 7:00,1/24/2023 7:00,0
50027,1.08774,1.0891,1.08765,1.0887,2346,1/24/2023 8:00,1/24/2023 8:00,0
50028,1.08864,1.0897,1.08825,1.08879,3885,1/24/2023 9:00,1/24/2023 9:00,0
50029,1.08878,1.08951,1.08656,1.08742,5231,1/24/2023 10:00,1/24/2023 10:00,0
50030,1.08739,1.08823,1.08509,1.08598,5951,1/24/2023 11:00,1/24/2023 11:00,0
50031,1.08598,1.08657,1.08513,1.0863,4934,1/24/2023 12:00,1/24/2023 12:00,0
50032,1.08629,1.0875,1.08528,1.08659,3759,1/24/2023 13:00,1/24/2023 13:00,0
50033,1.08659,1.08754,1.08582,1.08588,3334,1/24/2023 14:00,1/24/2023 14:00,0
50034,1.08588,1.088,1.08533,1.08651,6382,1/24/2023 15:00,1/24/2023 15:00,0
50035,1.0865,1.08692,1.08395,1.08413,9114,1/24/2023 16:00,1/24/2023 16:00,0
50036,1.08414,1.08797,1.08343,1.08743,10805,1/24/2023 17:00,1/24/2023 17:00,0
50037,1.08744,1.08823,1.08662,1.08708,6217,1/24/2023 18:00,1/24/2023 18:00,1
50038,1.08709,1.08862,1.08693,1.08824,4410,1/24/2023 19:00,1/24/2023 19:00,0
50039,1.08824,1.0888,1.0876,1.08783,2884,1/24/2023 20:00,1/24/2023 20:00,0
50040,1.08783,1.08837,1.08732,1.08829,1685,1/24/2023 21:00,1/24/2023 21:00,0
50041,1.08832,1.08838,1.08782,1.08806,1951,1/24/2023 22:00,1/24/2023 22:00,0
50042,1.08804,1.08881,1.08799,1.08857,2246,1/24/2023 23:00,1/24/2023 23:00,0
50043,1.08854,1.08872,1.08773,1.08843,454,1/25/2023 0:00,1/25/2023 0:00,0
50044,1.08842,1.08895,1.0882,1.08889,1939,1/25/2023 1:00,1/25/2023 1:00,0
50045,1.0889,1.08896,1.088,1.08863,2865,1/25/2023 2:00,1/25/2023 2:00,0
50046,1.08862,1.08933,1.08833,1.08922,2439,1/25/2023 3:00,1/25/2023 3:00,0
50047,1.08922,1.09007,1.08921,1.08959,1877,1/25/2023 4:00,1/25/2023 4:00,0
50048,1.08956,1.08987,1.08917,1.08963,2079,1/25/2023 5:00,1/25/2023 5:00,0
50049,1.08964,1.09019,1.08962,1.08979,1533,1/25/2023 6:00,1/25/2023 6:00,0
50050,1.08979,1.08986,1.0891,1.08966,1892,1/25/2023 7:00,1/25/2023 7:00,0
50051,1.08969,1.09101,1.08949,1.09052,2953,1/25/2023 8:00,1/25/2023 8:00,0
50052,1.09054,1.09106,1.08777,1.08802,4302,1/25/2023 9:00,1/25/2023 9:00,0
50053,1.08801,1.08904,1.08671,1.08763,5061,1/25/2023 10:00,1/25/2023 10:00,0
50054,1.08763,1.08911,1.08691,1.08804,4612,1/25/2023 11:00,1/25/2023 11:00,0
50055,1.08803,1.08803,1.08622,1.08648,4728,1/25/2023 12:00,1/25/2023 12:00,0
50056,1.08648,1.08688,1.08563,1.08637,3980,1/25/2023 13:00,1/25/2023 13:00,0
50057,1.08637,1.08762,1.08577,1.08732,4370,1/25/2023 14:00,1/25/2023 14:00,0
50058,1.08729,1.08841,1.08636,1.08712,5615,1/25/2023 15:00,1/25/2023 15:00,0
50059,1.08712,1.08996,1.08678,1.0893,7508,1/25/2023 16:00,1/25/2023 16:00,0
50060,1.08929,1.09228,1.08901,1.09016,10436,1/25/2023 17:00,1/25/2023 17:00,0
50061,1.09015,1.09026,1.08734,1.08992,6344,1/25/2023 18:00,1/25/2023 18:00,0
50062,1.08997,1.09028,1.08932,1.08983,3039,1/25/2023 19:00,1/25/2023 19:00,0
50063,1.08986,1.09173,1.08986,1.09084,3400,1/25/2023 20:00,1/25/2023 20:00,0
50064,1.09084,1.09142,1.09058,1.09138,3050,1/25/2023 21:00,1/25/2023 21:00,0
50065,1.09139,1.09167,1.09056,1.09137,2264,1/25/2023 22:00,1/25/2023 22:00,0
50066,1.09134,1.09171,1.09106,1.09126,2192,1/25/2023 23:00,1/25/2023 23:00,0
50067,1.09147,1.09167,1.09078,1.09116,468,1/26/2023 0:00,1/26/2023 0:00,0
50068,1.09115,1.09219,1.09113,1.09197,1233,1/26/2023 1:00,1/26/2023 1:00,0
50069,1.09198,1.09238,1.09147,1.09147,1948,1/26/2023 2:00,1/26/2023 2:00,0
50070,1.0915,1.092,1.09061,1.09183,2332,1/26/2023 3:00,1/26/2023 3:00,-1
50071,1.09183,1.09209,1.09099,1.09144,1787,1/26/2023 4:00,1/26/2023 4:00,0
50072,1.09144,1.09168,1.09103,1.09122,1537,1/26/2023 5:00,1/26/2023 5:00,0
50073,1.09121,1.09173,1.09121,1.09135,1311,1/26/2023 6:00,1/26/2023 6:00,0
50074,1.09134,1.09181,1.09081,1.09179,1329,1/26/2023 7:00,1/26/2023 7:00,0
50075,1.09178,1.09287,1.09162,1.09194,2154,1/26/2023 8:00,1/26/2023 8:00,0
50076,1.09194,1.09218,1.09057,1.09186,4736,1/26/2023 9:00,1/26/2023 9:00,0
50077,1.09187,1.09271,1.09048,1.09083,4886,1/26/2023 10:00,1/26/2023 10:00,0
50078,1.09082,1.09092,1.08917,1.08948,4480,1/26/2023 11:00,1/26/2023 11:00,0
50079,1.08947,1.09071,1.0893,1.09061,3027,1/26/2023 12:00,1/26/2023 12:00,0
50080,1.0906,1.09069,1.08982,1.09022,2539,1/26/2023 13:00,1/26/2023 13:00,0
50081,1.09021,1.09034,1.08859,1.08919,3627,1/26/2023 14:00,1/26/2023 14:00,0
50082,1.08917,1.09074,1.08721,1.09017,8842,1/26/2023 15:00,1/26/2023 15:00,0
50083,1.09017,1.09166,1.08805,1.08864,9635,1/26/2023 16:00,1/26/2023 16:00,0
50084,1.08863,1.0894,1.08502,1.08544,9947,1/26/2023 17:00,1/26/2023 17:00,0
50085,1.08544,1.08711,1.08496,1.08638,6348,1/26/2023 18:00,1/26/2023 18:00,0
50086,1.08639,1.08692,1.08572,1.08639,3229,1/26/2023 19:00,1/26/2023 19:00,0
50087,1.08638,1.08874,1.08627,1.08854,2844,1/26/2023 20:00,1/26/2023 20:00,0
50088,1.08853,1.08894,1.08813,1.08883,1914,1/26/2023 21:00,1/26/2023 21:00,0
50089,1.08884,1.08918,1.08855,1.08913,2530,1/26/2023 22:00,1/26/2023 22:00,0
50090,1.08913,1.08938,1.08893,1.08911,1269,1/26/2023 23:00,1/26/2023 23:00,0
50091,1.08904,1.08904,1.08858,1.0889,289,1/27/2023 0:00,1/27/2023 0:00,0
50092,1.08889,1.08957,1.08882,1.08922,1678,1/27/2023 1:00,1/27/2023 1:00,0
50093,1.08923,1.08993,1.08922,1.08956,2233,1/27/2023 2:00,1/27/2023 2:00,0
50094,1.08953,1.08983,1.08851,1.08887,2202,1/27/2023 3:00,1/27/2023 3:00,0
50095,1.08886,1.08891,1.08776,1.08785,1588,1/27/2023 4:00,1/27/2023 4:00,0
50096,1.08785,1.08795,1.08697,1.08728,1535,1/27/2023 5:00,1/27/2023 5:00,0
50097,1.08727,1.08727,1.0865,1.08653,1500,1/27/2023 6:00,1/27/2023 6:00,0
50098,1.08654,1.08731,1.08647,1.08728,1282,1/27/2023 7:00,1/27/2023 7:00,0
50099,1.08728,1.08729,1.08653,1.0869,2129,1/27/2023 8:00,1/27/2023 8:00,0
50100,1.0869,1.08787,1.08672,1.0873,2999,1/27/2023 9:00,1/27/2023 9:00,0
50101,1.08734,1.08907,1.08648,1.08896,4545,1/27/2023 10:00,1/27/2023 10:00,0
50102,1.08896,1.08914,1.08765,1.08829,3853,1/27/2023 11:00,1/27/2023 11:00,0
50103,1.08829,1.08945,1.08818,1.08885,2677,1/27/2023 12:00,1/27/2023 12:00,0
50104,1.08884,1.0893,1.08746,1.08782,3240,1/27/2023 13:00,1/27/2023 13:00,0
50105,1.08782,1.088,1.08654,1.08661,2858,1/27/2023 14:00,1/27/2023 14:00,0
50106,1.08659,1.0877,1.08586,1.08614,6115,1/27/2023 15:00,1/27/2023 15:00,0
50107,1.08614,1.08759,1.08443,1.08643,7781,1/27/2023 16:00,1/27/2023 16:00,0
50108,1.08642,1.08781,1.0837,1.08377,9026,1/27/2023 17:00,1/27/2023 17:00,0
50109,1.08375,1.08665,1.08373,1.08556,6085,1/27/2023 18:00,1/27/2023 18:00,0
50110,1.08557,1.0871,1.08518,1.08656,3369,1/27/2023 19:00,1/27/2023 19:00,0
50111,1.08656,1.08668,1.08557,1.08651,2979,1/27/2023 20:00,1/27/2023 20:00,0
50112,1.08651,1.08714,1.08634,1.08677,2580,1/27/2023 21:00,1/27/2023 21:00,0
50113,1.08678,1.08722,1.08632,1.08645,2154,1/27/2023 22:00,1/27/2023 22:00,0
50114,1.08644,1.08688,1.08641,1.08667,976,1/27/2023 23:00,1/27/2023 23:00,0
50115,1.08638,1.08649,1.08574,1.08648,336,1/30/2023 0:00,1/30/2023 0:00,0
50116,1.08647,1.08718,1.08647,1.08708,1506,1/30/2023 1:00,1/30/2023 1:00,0
50117,1.08709,1.08751,1.08684,1.08738,2307,1/30/2023 2:00,1/30/2023 2:00,0
50118,1.08734,1.08744,1.08604,1.08726,3289,1/30/2023 3:00,1/30/2023 3:00,0
50119,1.08726,1.08727,1.08647,1.08683,2501,1/30/2023 4:00,1/30/2023 4:00,0
50120,1.08683,1.08685,1.08635,1.08676,1854,1/30/2023 5:00,1/30/2023 5:00,0
50121,1.08675,1.08786,1.08672,1.08754,4217,1/30/2023 6:00,1/30/2023 6:00,0
50122,1.08753,1.08761,1.08634,1.08682,2548,1/30/2023 7:00,1/30/2023 7:00,0
50123,1.0868,1.08686,1.08572,1.08612,2400,1/30/2023 8:00,1/30/2023 8:00,0
50124,1.08611,1.08691,1.08523,1.08587,3841,1/30/2023 9:00,1/30/2023 9:00,0
50125,1.08587,1.08886,1.08587,1.08805,6907,1/30/2023 10:00,1/30/2023 10:00,0
50126,1.08804,1.09032,1.08757,1.0901,4804,1/30/2023 11:00,1/30/2023 11:00,0
50127,1.09008,1.09129,1.09008,1.09099,4700,1/30/2023 12:00,1/30/2023 12:00,0
50128,1.091,1.09106,1.08897,1.08955,3860,1/30/2023 13:00,1/30/2023 13:00,0
50129,1.08957,1.09088,1.08921,1.0903,3732,1/30/2023 14:00,1/30/2023 14:00,-1
50130,1.0903,1.09104,1.08852,1.08853,5511,1/30/2023 15:00,1/30/2023 15:00,0
50131,1.08854,1.08988,1.08788,1.08905,6532,1/30/2023 16:00,1/30/2023 16:00,0
50132,1.08904,1.08985,1.08669,1.087,7860,1/30/2023 17:00,1/30/2023 17:00,0
50133,1.08699,1.08739,1.08598,1.08649,5397,1/30/2023 18:00,1/30/2023 18:00,0
50134,1.08648,1.08659,1.08566,1.08569,3700,1/30/2023 19:00,1/30/2023 19:00,0
50135,1.08567,1.08598,1.08494,1.08536,2928,1/30/2023 20:00,1/30/2023 20:00,0
50136,1.08538,1.08547,1.08384,1.08452,2977,1/30/2023 21:00,1/30/2023 21:00,0
50137,1.08452,1.08537,1.08431,1.08449,3024,1/30/2023 22:00,1/30/2023 22:00,0
50138,1.08452,1.08515,1.08448,1.08483,1217,1/30/2023 23:00,1/30/2023 23:00,0
50139,1.08472,1.08508,1.08461,1.08496,2273,1/31/2023 0:00,1/31/2023 0:00,0
50140,1.085,1.085,1.08458,1.08489,806,1/31/2023 1:00,1/31/2023 1:00,0
50141,1.08492,1.08564,1.0848,1.0853,2291,1/31/2023 2:00,1/31/2023 2:00,0
50142,1.08531,1.08594,1.08501,1.08568,2788,1/31/2023 3:00,1/31/2023 3:00,0
50143,1.08567,1.08583,1.08491,1.08509,2172,1/31/2023 4:00,1/31/2023 4:00,0
50144,1.08511,1.08519,1.08432,1.08438,1891,1/31/2023 5:00,1/31/2023 5:00,0
50145,1.08439,1.08456,1.08386,1.08452,1713,1/31/2023 6:00,1/31/2023 6:00,0
50146,1.08453,1.08459,1.0832,1.08337,1731,1/31/2023 7:00,1/31/2023 7:00,0
50147,1.08339,1.08415,1.08309,1.08384,2594,1/31/2023 8:00,1/31/2023 8:00,0
50148,1.08385,1.08487,1.08333,1.08432,4492,1/31/2023 9:00,1/31/2023 9:00,0
50149,1.08432,1.08441,1.08017,1.08025,6861,1/31/2023 10:00,1/31/2023 10:00,0
50150,1.08024,1.08333,1.08011,1.08289,5498,1/31/2023 11:00,1/31/2023 11:00,0
50151,1.08289,1.08305,1.08194,1.0822,4773,1/31/2023 12:00,1/31/2023 12:00,1
50152,1.08218,1.08374,1.08205,1.0835,3843,1/31/2023 13:00,1/31/2023 13:00,0
50153,1.08352,1.08378,1.08246,1.08252,3922,1/31/2023 14:00,1/31/2023 14:00,0
50154,1.08251,1.08623,1.08251,1.08502,9459,1/31/2023 15:00,1/31/2023 15:00,0
50155,1.08504,1.08636,1.08422,1.08471,8507,1/31/2023 16:00,1/31/2023 16:00,0
50156,1.08467,1.08618,1.08326,1.08593,10122,1/31/2023 17:00,1/31/2023 17:00,0
50157,1.08592,1.08669,1.08524,1.08562,5865,1/31/2023 18:00,1/31/2023 18:00,0
50158,1.08563,1.08654,1.08498,1.08646,3160,1/31/2023 19:00,1/31/2023 19:00,0
50159,1.08644,1.08741,1.08638,1.08716,2309,1/31/2023 20:00,1/31/2023 20:00,0
50160,1.08715,1.08732,1.08621,1.08633,2377,1/31/2023 21:00,1/31/2023 21:00,0
50161,1.08634,1.08721,1.08591,1.08712,2808,1/31/2023 22:00,1/31/2023 22:00,0
50162,1.08711,1.08718,1.08596,1.08596,1908,1/31/2023 23:00,1/31/2023 23:00,0
50163,1.08587,1.08632,1.08587,1.086,367,2/1/2023 0:00,2/1/2023 0:00,0
50164,1.086,1.08647,1.08596,1.08597,1211,2/1/2023 1:00,2/1/2023 1:00,0
50165,1.08596,1.08633,1.08575,1.08616,1704,2/1/2023 2:00,2/1/2023 2:00,0
50166,1.08617,1.08629,1.08561,1.08564,1997,2/1/2023 3:00,2/1/2023 3:00,0
50167,1.08565,1.08565,1.08513,1.0853,1585,2/1/2023 4:00,2/1/2023 4:00,0
50168,1.08532,1.08621,1.08516,1.0862,1058,2/1/2023 5:00,2/1/2023 5:00,0
50169,1.08619,1.0868,1.08617,1.08648,1335,2/1/2023 6:00,2/1/2023 6:00,0
50170,1.08645,1.08741,1.08645,1.08708,1395,2/1/2023 7:00,2/1/2023 7:00,0
50171,1.08706,1.08761,1.0865,1.08688,1839,2/1/2023 8:00,2/1/2023 8:00,0
