,Open,High,Low,Close,Volume,Time,Date,Signal
45000,1.10213,1.10313,1.10083,1.10091,3111,4/4/2022 12:00,4/4/2022 12:00,0
45001,1.10093,1.1013,1.10001,1.10004,2712,4/4/2022 13:00,4/4/2022 13:00,0
45002,1.10003,1.10077,1.09953,1.09959,3016,4/4/2022 14:00,4/4/2022 14:00,0
45003,1.09961,1.10083,1.09951,1.09984,3519,4/4/2022 15:00,4/4/2022 15:00,0
45004,1.09983,1.10021,1.09804,1.09915,3698,4/4/2022 16:00,4/4/2022 16:00,0
45005,1.09916,1.09977,1.09784,1.09939,4995,4/4/2022 17:00,4/4/2022 17:00,0
45006,1.09938,1.10004,1.09897,1.09923,2931,4/4/2022 18:00,4/4/2022 18:00,0
45007,1.09922,1.09923,1.09735,1.09739,2203,4/4/2022 19:00,4/4/2022 19:00,0
45008,1.0974,1.09764,1.09621,1.09629,2214,4/4/2022 20:00,4/4/2022 20:00,0
45009,1.09629,1.09721,1.09596,1.09705,1590,4/4/2022 21:00,4/4/2022 21:00,0
45010,1.09704,1.09746,1.09684,1.09689,1232,4/4/2022 22:00,4/4/2022 22:00,0
45011,1.09691,1.09737,1.09682,1.09688,662,4/4/2022 23:00,4/4/2022 23:00,0
45012,1.09685,1.09741,1.09684,1.09717,180,4/5/2022 0:00,4/5/2022 0:00,0
45013,1.0972,1.09741,1.09695,1.09715,573,4/5/2022 1:00,4/5/2022 1:00,0
45014,1.09721,1.09754,1.09702,1.09741,747,4/5/2022 2:00,4/5/2022 2:00,0
45015,1.0974,1.0979,1.09695,1.09752,2402,4/5/2022 3:00,4/5/2022 3:00,0
45016,1.09753,1.0976,1.09666,1.09675,1468,4/5/2022 4:00,4/5/2022 4:00,0
45017,1.09675,1.09723,1.09644,1.09683,1203,4/5/2022 5:00,4/5/2022 5:00,0
45018,1.09684,1.09716,1.09673,1.09716,1116,4/5/2022 6:00,4/5/2022 6:00,0
45019,1.09715,1.09716,1.09614,1.09633,2653,4/5/2022 7:00,4/5/2022 7:00,0
45020,1.09634,1.09714,1.09616,1.09681,1938,4/5/2022 8:00,4/5/2022 8:00,0
