time,open,high,low,close,tick_volume,spread,real_volume
1420185600,1.20481,1.20689,1.20341,1.20573,13573,17,0
1420200000,1.20573,1.20576,1.20248,1.20303,11302,17,0
1420214400,1.20302,1.20329,1.20031,1.2009,16214,17,0
1420228800,1.20093,1.20149,1.19993,1.20002,5820,17,0
1420416000,1.1951100000000001,1.19754,1.1859899999999999,1.19539,15220,17,0
1420430400,1.19539,1.19646,1.1925,1.19344,8637,17,0
1420444800,1.19343,1.19756,1.19302,1.19538,17365,17,0
1420459200,1.19537,1.19565,1.18864,1.1912,21438,17,0
1420473600,1.19124,1.19409,1.19079,1.19226,18609,17,0
1420488000,1.19224,1.1949,1.1914,1.19322,7377,17,0
1420502400,1.19323,1.19456,1.1926,1.19402,5657,17,0
1420516800,1.19402,1.19575,1.19398,1.19564,7125,17,0
1420531200,1.19564,1.1968,1.19042,1.19071,16274,17,0
1420545600,1.19071,1.19188,1.18834,1.19064,19107,17,0
1420560000,1.19067,1.19581,1.1886700000000001,1.19214,24949,17,0
1420574400,1.19215,1.19356,1.18866,1.18886,12567,17,0
1420588800,1.18889,1.18903,1.18491,1.18764,8147,17,0
1420603200,1.18762,1.18794,1.18658,1.18776,6144,17,0
1420617600,1.18774,1.18954,1.1851099999999999,1.1853,18262,17,0
1420632000,1.18535,1.18753,1.18181,1.18293,23927,17,0
1420646400,1.18292,1.18344,1.1801300000000001,1.18287,20832,17,0
1420660800,1.18286,1.18578,1.18076,1.18386,14025,17,0
1420675200,1.18381,1.18466,1.18245,1.18248,6604,17,0
1420689600,1.18249,1.18305,1.1816200000000001,1.18204,6993,17,0
1420704000,1.18203,1.18234,1.17793,1.1780599999999999,16110,17,0
1420718400,1.1780599999999999,1.1788,1.17534,1.1786699999999999,18882,17,0
1420732800,1.17866,1.18184,1.17713,1.18164,19857,17,0
1420747200,1.18161,1.18163,1.17794,1.1791,7717,17,0
1420761600,1.17908,1.18102,1.17861,1.18001,7331,17,0
1420776000,1.18001,1.18142,1.17991,1.18096,7390,17,0
1420790400,1.18096,1.18193,1.17841,1.18153,15308,17,0
1420804800,1.18155,1.18315,1.17617,1.17869,23739,17,0
1420819200,1.17869,1.1844000000000001,1.17719,1.1829399999999999,28467,17,0
1420833600,1.18298,1.18452,1.18297,1.18396,8307,17,0
1421020800,1.18452,1.18691,1.18444,1.1856200000000001,6845,17,0
1421035200,1.1856200000000001,1.18622,1.18444,1.18608,6688,17,0
1421049600,1.18606,1.187,1.18044,1.18125,16913,17,0
1421064000,1.18123,1.18256,1.17853,1.18229,17972,17,0
1421078400,1.1823,1.18443,1.18083,1.18251,20431,17,0
1421092800,1.18253,1.18451,1.18246,1.18331,7981,17,0
1421107200,1.18321,1.18474,1.18225,1.18433,7930,17,0
1421121600,1.18432,1.18589,1.18227,1.18272,9544,17,0
1421136000,1.18274,1.18514,1.17933,1.18075,18303,17,0
1421150400,1.1807400000000001,1.1810100000000001,1.17663,1.17689,19238,17,0
1421164800,1.17689,1.17991,1.17526,1.17837,22072,17,0
1421179200,1.1784,1.17872,1.1758,1.17719,13197,17,0
1421193600,1.17715,1.17816,1.17634,1.17729,8733,17,0
1421208000,1.1773,1.17938,1.17669,1.1791,11028,17,0
1421222400,1.17909,1.18105,1.17266,1.17438,25245,17,0
1421236800,1.17436,1.18456,1.17368,1.18246,24906,17,0
1421251200,1.18246,1.18391,1.17708,1.17868,25979,17,0
1421265600,1.17869,1.17919,1.1774499999999999,1.17878,11679,17,0
1421280000,1.17887,1.1791800000000001,1.17717,1.17742,7617,17,0
1421294400,1.17742,1.17868,1.17643,1.17668,7296,17,0
1421308800,1.17667,1.17855,1.15791,1.17224,22226,17,0
1421323200,1.1722299999999999,1.1773,1.16658,1.16982,49047,17,0
1421337600,1.16978,1.17029,1.1567,1.16002,52021,17,0
1421352000,1.16009,1.16354,1.15973,1.16314,24859,17,0
1421366400,1.16315,1.16388,1.1599,1.16263,16474,17,0
1421380800,1.16265,1.16456,1.16246,1.16284,15918,17,0
1421395200,1.16284,1.1648,1.16107,1.16278,29614,17,0
1421409600,1.16275,1.16345,1.15736,1.1583700000000001,30665,17,0
1421424000,1.15835,1.15849,1.14591,1.15468,44111,17,0
1421438400,1.15467,1.15885,1.15309,1.15601,17716,17,0
1421625600,1.15499,1.15733,1.15499,1.15694,9332,17,0
1421640000,1.15695,1.15732,1.15524,1.15606,9213,17,0
1421654400,1.15604,1.16275,1.15506,1.16153,21675,17,0
1421668800,1.16153,1.16225,1.15849,1.16098,21957,17,0
1421683200,1.16098,1.16381,1.15995,1.1608100000000001,18679,17,0
1421697600,1.1608100000000001,1.16161,1.16004,1.16062,5997,17,0
1421712000,1.16059,1.16085,1.1571799999999999,1.15879,9930,17,0
1421726400,1.15881,1.15888,1.15737,1.15832,9660,17,0
1421740800,1.15834,1.16085,1.15674,1.16045,22180,17,0
1421755200,1.16045,1.16141,1.15685,1.16035,22380,17,0
1421769600,1.16033,1.16033,1.15431,1.15467,23256,17,0
1421784000,1.15467,1.15564,1.15395,1.15488,8920,17,0
1421798400,1.1549,1.15642,1.15406,1.15605,7367,17,0
1421812800,1.15606,1.1575,1.15577,1.15739,10553,17,0
1421827200,1.1574,1.15875,1.15463,1.15698,21344,17,0
1421841600,1.15698,1.1636199999999999,1.15641,1.16321,22226,17,0
1421856000,1.16321,1.16791,1.15641,1.15733,39292,17,0
1421870400,1.15732,1.16107,1.15612,1.16088,11313,17,0
1421884800,1.16092,1.16286,1.1589800000000001,1.15972,9025,17,0
1421899200,1.15973,1.16084,1.15879,1.15901,7849,17,0
1421913600,1.15901,1.16285,1.15746,1.16226,18684,17,0
1421928000,1.16227,1.16504,1.15109,1.15616,31982,17,0
1421942400,1.15618,1.15649,1.13756,1.1381999999999999,48205,17,0
1421956800,1.13821,1.13916,1.13154,1.13645,18909,17,0
1421971200,1.13646,1.13734,1.13381,1.13609,11724,17,0
1421985600,1.13606,1.13685,1.13136,1.13349,11031,17,0
1422000000,1.1335,1.13555,1.12301,1.12329,32181,17,0
1422014400,1.1233,1.1247,1.11137,1.12347,39980,17,0
1422028800,1.12346,1.12882,1.12094,1.12546,36763,17,0
1422043200,1.12544,1.12568,1.12042,1.12042,13652,17,0
1422230400,1.11485,1.12012,1.10969,1.11682,18628,17,0
1422244800,1.11682,1.1194,1.11505,1.11847,10019,17,0
1422259200,1.11852,1.12612,1.11848,1.12498,27677,16,0
1422273600,1.12497,1.12762,1.12206,1.12679,20929,17,0
1422288000,1.12681,1.12946,1.12492,1.12788,23320,17,0
1422302400,1.12788,1.1282,1.12316,1.1238,9760,17,0
1422316800,1.12361,1.12575,1.12309,1.12482,8056,17,0
1422331200,1.12483,1.12537,1.12352,1.12376,7694,17,0
1422345600,1.12376,1.13445,1.12228,1.13172,26837,17,0
1422360000,1.13172,1.13386,1.12604,1.13373,29419,17,0
1422374400,1.13378,1.14218,1.13326,1.13516,34503,17,0
1422388800,1.13516,1.13818,1.134,1.13797,11391,17,0
1422403200,1.13801,1.13822,1.13299,1.13345,11135,17,0
1422417600,1.13342,1.13633,1.13297,1.13545,7076,17,0
1422432000,1.13546,1.13815,1.13255,1.13619,23377,17,0
1422446400,1.13619,1.13803,1.13397,1.1350500000000001,22603,17,0
1422460800,1.1350500000000001,1.13619,1.1306,1.13533,25870,17,0
1422475200,1.13532,1.1369,1.12754,1.12862,29307,17,0
1422489600,1.12865,1.12953,1.12715,1.12875,9544,17,0
1422504000,1.12875,1.12928,1.12612,1.12732,8886,17,0
1422518400,1.12732,1.13183,1.12644,1.1315,24491,17,0
1422532800,1.13151,1.13269,1.12897,1.13224,25699,17,0
1422547200,1.13223,1.1367099999999999,1.12779,1.13036,33870,17,0
1422561600,1.13034,1.1326100000000001,1.12938,1.13187,12219,17,0
1422576000,1.13188,1.1337,1.13155,1.13323,7822,17,0
1422590400,1.13321,1.13386,1.13209,1.13382,7198,17,0
1422604800,1.13382,1.13519,1.13033,1.1309,20789,17,0
1422619200,1.1309,1.1363,1.12913,1.1317300000000001,32303,17,0
1422633600,1.13172,1.13252,1.12782,1.12866,31421,17,0
1422648000,1.12865,1.13148,1.12772,1.12817,13287,17,0
1422835200,1.1311,1.13188,1.12999,1.13144,8159,17,0
1422849600,1.13144,1.13247,1.13046,1.13075,5600,17,0
1422864000,1.13075,1.13523,1.12915,1.13514,22243,17,0
1422878400,1.13512,1.1353900000000001,1.13015,1.13104,23252,17,0
1422892800,1.13104,1.13613,1.13082,1.13319,26207,17,0
1422907200,1.13318,1.13544,1.13305,1.13404,10617,17,0
1422921600,1.13399,1.1350500000000001,1.13323,1.13465,7339,17,0
1422936000,1.13466,1.13477,1.13213,1.13306,10321,17,0
1422950400,1.13306,1.1351,1.13116,1.13327,23691,17,0
1422964800,1.13326,1.14489,1.1331,1.14418,29305,17,0
1422979200,1.1442,1.14912,1.14186,1.14704,36321,17,0
1422993600,1.14705,1.15328,1.14705,1.14796,22606,17,0
1423008000,1.14807,1.14807,1.14547,1.1465,10618,17,0
1423022400,1.14651,1.14836,1.14543,1.14771,9551,17,0
1423036800,1.14771,1.14841,1.14362,1.14441,25488,17,0
1423051200,1.1444,1.14622,1.14291,1.14387,28755,17,0
