time,open,high,low,close,tick_volume,spread,real_volume
1420185600,0.81356,0.81451,0.81258,0.81413,8897,18,0
1420200000,0.81414,0.81422,0.81052,0.81075,9077,18,0
1420214400,0.81075,0.81306,0.81012,0.81111,10458,18,0
1420228800,0.81111,0.81138,0.80764,0.80904,5907,18,0
1420416000,0.80697,0.81054,0.80515,0.80814,12667,18,0
1420430400,0.80815,0.80956,0.80344,0.80494,10186,18,0
1420444800,0.80494,0.80874,0.80383,0.80856,12006,18,0
1420459200,0.80855,0.8088,0.80555,0.80753,13897,18,0
1420473600,0.80753,0.81063,0.80731,0.80897,13157,18,0
1420488000,0.80895,0.80995,0.80811,0.80815,6043,18,0
1420502400,0.80816,0.81232,0.80796,0.81152,9375,18,0
1420516800,0.81154,0.81501,0.8115,0.81415,11392,18,0
1420531200,0.81414,0.81566,0.81146,0.81297,15414,18,0
1420545600,0.81297,0.81403,0.81197,0.81236,12971,18,0
1420560000,0.81236,0.81365,0.81008,0.81057,19547,18,0
1420574400,0.81059,0.81188,0.80826,0.80828,9876,18,0
1420588800,0.80823,0.80849,0.80542,0.80734,10059,18,0
1420603200,0.80734,0.80809,0.80631,0.80702,9291,18,0
1420617600,0.807,0.80803,0.80525,0.80605,14742,18,0
1420632000,0.80606,0.80799,0.80499,0.8054,15924,18,0
1420646400,0.8054,0.80553,0.80319,0.805,13970,18,0
1420660800,0.80503,0.80891,0.80348,0.8077,12168,18,0
1420675200,0.8077,0.81052,0.80698,0.80923,9588,18,0
1420689600,0.80923,0.81149,0.8084,0.81122,9526,18,0
1420704000,0.81121,0.81241,0.80914,0.811,14310,18,0
1420718400,0.811,0.81146,0.80928,0.81075,12529,18,0
1420732800,0.81074,0.81299,0.80925,0.81273,12926,18,0
1420747200,0.81273,0.81285,0.81033,0.81218,5985,18,0
1420761600,0.81214,0.81389,0.81041,0.81292,10730,18,0
1420776000,0.81293,0.81461,0.81293,0.81389,9919,18,0
1420790400,0.81389,0.81399,0.81128,0.81196,12927,18,0
1420804800,0.81195,0.81734,0.81188,0.81526,16461,18,0
1420819200,0.81528,0.82016,0.81517,0.81896,19331,18,0
1420833600,0.81897,0.82074,0.81885,0.82008,6223,18,0
1421020800,0.82092,0.82322,0.82059,0.82274,8322,18,0
1421035200,0.82273,0.82513,0.82216,0.82512,9352,18,0
1421049600,0.82513,0.82539,0.81606,0.81612,15798,18,0
1421064000,0.81611,0.81714,0.81297,0.81498,15282,18,0
1421078400,0.81499,0.81635,0.81366,0.81531,14586,18,0
1421092800,0.81532,0.81688,0.81532,0.81557,6385,18,0
1421107200,0.81563,0.81733,0.8127,0.81688,10255,18,0
1421121600,0.81689,0.81972,0.81522,0.81544,12406,18,0
1421136000,0.81544,0.81826,0.81317,0.81387,15748,18,0
1421150400,0.81386,0.81629,0.81283,0.81447,14873,18,0
1421164800,0.81448,0.81707,0.81324,0.81614,13747,18,0
1421179200,0.81614,0.81675,0.81465,0.81645,10557,18,0
1421193600,0.81652,0.81883,0.81473,0.81476,10421,18,0
1421208000,0.81476,0.81503,0.80764,0.80918,15807,18,0
1421222400,0.80918,0.81434,0.80671,0.81358,20279,18,0
1421236800,0.81359,0.81782,0.81113,0.8164,17116,18,0
1421251200,0.81635,0.81702,0.81372,0.81552,17676,18,0
1421265600,0.81551,0.81576,0.81376,0.81479,9188,18,0
1421280000,0.81479,0.82197,0.81322,0.81864,13905,6,0
1421294400,0.81865,0.82119,0.81768,0.82107,10800,18,0
1421308800,0.82107,0.82364,0.81514,0.81868,18654,18,0
1421323200,0.8188,0.82943,0.81485,0.82481,31974,18,0
1421337600,0.82479,0.82492,0.81967,0.82102,30520,18,0
1421352000,0.82102,0.82279,0.82043,0.82119,14638,18,0
