time,open,high,low,close,tick_volume,spread,real_volume
1420185600,1.16492,1.16598,1.16429,1.16598,5856,16,0
1420200000,1.16598,1.16955,1.16531,1.16955,5888,16,0
1420214400,1.16957,1.17474,1.16921,1.17408,11691,16,0
1420228800,1.17408,1.1785,1.17371,1.17823,6117,16,0
1420416000,1.17797,1.18395,1.1773,1.17924,8240,16,0
1420430400,1.17922,1.18116,1.17819,1.18045,4655,16,0
1420444800,1.18046,1.18107,1.17717,1.17721,6676,16,0
1420459200,1.17726,1.18092,1.17608,1.17805,9254,16,0
1420473600,1.17801,1.17991,1.17667,1.1784,10622,16,0
1420488000,1.17841,1.17896,1.17426,1.17614,7362,16,0
1420502400,1.17614,1.17664,1.17409,1.17459,4444,16,0
1420516800,1.17458,1.17496,1.17296,1.1739,4942,16,0
1420531200,1.1739,1.17779,1.17386,1.17679,9053,16,0
1420545600,1.17682,1.17846,1.17587,1.17683,9208,16,0
1420560000,1.17682,1.18133,1.1751800000000001,1.18127,15130,16,0
1420574400,1.18127,1.18392,1.1808,1.1835499999999999,8196,16,0
1420588800,1.18356,1.18445,1.18225,1.1826699999999999,3951,16,0
1420603200,1.1826699999999999,1.18434,1.18224,1.18353,4511,16,0
1420617600,1.18354,1.1867,1.18274,1.18665,10140,16,0
1420632000,1.18669,1.18674,1.18124,1.18484,13624,16,0
1420646400,1.18484,1.18664,1.18181,1.1851,12896,16,0
1420660800,1.1851,1.18732,1.18134,1.1813500000000001,11103,16,0
1420675200,1.18128,1.18248,1.1807,1.18215,5180,16,0
1420689600,1.18217,1.18299,1.1818,1.18262,4133,16,0
1420704000,1.18262,1.18378,1.18066,1.18131,8192,16,0
1420718400,1.1813,1.18279,1.1796,1.1819600000000001,8610,16,0
1420732800,1.18197,1.18371,1.18056,1.18158,11835,16,0
1420747200,1.18161,1.18433,1.18138,1.18289,7493,16,0
1420761600,1.1828400000000001,1.18404,1.18136,1.18194,4818,16,0
1420776000,1.18194,1.18239,1.18105,1.18222,4670,16,0
1420790400,1.18222,1.18499,1.18215,1.18489,6188,16,0
1420804800,1.1849,1.18895,1.18037,1.18705,13153,16,0
1420819200,1.18705,1.18762,1.18359,1.18581,17463,16,0
1420833600,1.18585,1.18775,1.18484,1.18617,6507,16,0
1421020800,1.18593,1.18638,1.18401,1.18605,4147,16,0
1421035200,1.18603,1.18651,1.18376,1.1838899999999999,4473,16,0
1421049600,1.1838899999999999,1.18826,1.1834500000000001,1.18793,8522,16,0
1421064000,1.18793,1.19136,1.18702,1.19075,8581,16,0
1421078400,1.19074,1.19402,1.1903299999999999,1.19359,12037,16,0
1421092800,1.19359,1.19737,1.19337,1.19731,7879,16,0
1421107200,1.19731,1.19768,1.19556,1.19571,5865,16,0
1421121600,1.19571,1.19649,1.19411,1.19588,6263,16,0
1421136000,1.19587,1.19912,1.19495,1.19798,9850,16,0
1421150400,1.19803,1.19928,1.19615,1.19671,9366,16,0
1421164800,1.19671,1.19681,1.19253,1.19465,12205,16,0
1421179200,1.19463,1.19726,1.19401,1.1956,9852,16,0
1421193600,1.19555,1.1970399999999999,1.19465,1.1969400000000001,6253,16,0
1421208000,1.19695,1.1992099999999999,1.19695,1.19889,6902,16,0
1421222400,1.1989,1.2016499999999999,1.19644,1.19742,13148,16,0
1421236800,1.1974,1.1982599999999999,1.19416,1.19481,13371,16,0
1421251200,1.19481,1.1970399999999999,1.19282,1.1968,14705,16,0
1421265600,1.19682,1.20005,1.19409,1.19496,12357,16,0
1421280000,1.19499,1.19599,1.19391,1.19498,7523,16,0
1421294400,1.19498,1.19735,1.19479,1.19702,5671,16,0
1421308800,1.1970399999999999,1.19932,1.19477,1.19608,12131,16,0
1421323200,1.19611,1.19946,1.18017,1.18769,29536,16,0
1421337600,1.18776,1.19519,1.18765,1.19264,25902,16,0
1421352000,1.19263,1.19778,1.19227,1.1956,14873,16,0
1421366400,1.19568,1.19835,1.19496,1.19777,8689,16,0
1421380800,1.19777,1.19777,1.19612,1.19629,8181,16,0
1421395200,1.19629,1.19969,1.19598,1.19936,11436,16,0
1421409600,1.19939,1.20458,1.19762,1.2008,15252,16,0
1421424000,1.20079,1.20325,1.19682,1.19777,19310,16,0
1421438400,1.19775,1.19893,1.19602,1.19829,9159,16,0
1421625600,1.19775,1.19793,1.19622,1.19769,4720,16,0
1421640000,1.19767,1.19777,1.19524,1.19547,4324,16,0
1421654400,1.19538,1.19718,1.19481,1.1963,7062,16,0
1421668800,1.1963,1.19846,1.19585,1.1969,7172,16,0
1421683200,1.19691,1.19838,1.19554,1.19577,7334,16,0
1421697600,1.19581,1.19651,1.19332,1.19386,4797,16,0
1421712000,1.19363,1.1968,1.19349,1.19607,5255,16,0
1421726400,1.1960600000000001,1.19791,1.19601,1.19702,4559,16,0
1421740800,1.19701,1.19822,1.195,1.19661,7755,16,0
1421755200,1.19657,1.2033800000000001,1.19617,1.20207,10785,16,0
1421769600,1.20207,1.21118,1.20205,1.20923,15040,16,0
1421784000,1.20923,1.2114,1.20864,1.21119,7642,16,0
1421798400,1.2111,1.21135,1.20909,1.2092100000000001,5984,16,0
