time,open,high,low,close,tick_volume,spread,real_volume
1420048800,1.20997,1.21089,1.20966,1.20999,3237,17,0
1420185600,1.20481,1.20569,1.20479,1.20538,1254,17,0
1420189200,1.20537,1.20574,1.20341,1.20553,3394,17,0
1420192800,1.20556,1.20689,1.20442,1.20469,4590,17,0
1420196400,1.20468,1.20599,1.2038,1.20573,4335,17,0
1420200000,1.20573,1.20573,1.20415,1.20501,2731,17,0
1420203600,1.20501,1.20576,1.2044,1.20534,2676,17,0
1420207200,1.20534,1.20543,1.20345,1.20374,2650,17,0
1420210800,1.2037499999999999,1.20435,1.20248,1.20303,3245,17,0
1420214400,1.20302,1.20329,1.20079,1.20143,4022,17,0
1420218000,1.20145,1.2031399999999999,1.20111,1.20306,5969,17,0
1420221600,1.20305,1.20312,1.20068,1.20129,4016,17,0
1420225200,1.20128,1.20152,1.20031,1.2009,2207,17,0
1420228800,1.20093,1.20149,1.20072,1.20115,1400,17,0
1420232400,1.20112,1.20113,1.20037,1.20049,1479,17,0
1420236000,1.20048,1.20081,1.20008,1.20028,1918,17,0
1420239600,1.20027,1.20054,1.19993,1.20002,1023,17,0
1420416000,1.1951100000000001,1.19535,1.1859899999999999,1.19451,3600,17,0
1420419600,1.19451,1.19489,1.19295,1.19461,3416,17,0
1420423200,1.19461,1.19754,1.1945999999999999,1.19621,4614,17,0
1420426800,1.19622,1.19724,1.19505,1.19539,3590,17,0
1420430400,1.19539,1.19646,1.19538,1.19554,2222,17,0
1420434000,1.19553,1.1956,1.19432,1.19432,2262,17,0
1420437600,1.19433,1.19444,1.1935,1.19403,1924,17,0
1420441200,1.19404,1.1944,1.1925,1.19344,2229,17,0
1420444800,1.19343,1.19468,1.19302,1.19467,2586,17,0
1420448400,1.19467,1.19601,1.19396,1.1956,4164,17,0
1420452000,1.1954799999999999,1.19756,1.19507,1.19546,5759,17,0
1420455600,1.19549,1.196,1.1942599999999999,1.19538,4856,17,0
1420459200,1.19537,1.19565,1.19135,1.19197,5287,17,0
1420462800,1.19197,1.19244,1.18994,1.19045,4720,17,0
1420466400,1.19045,1.19188,1.18864,1.18992,5341,17,0
1420470000,1.18991,1.19278,1.1892,1.1912,6090,17,0
1420473600,1.19124,1.1935,1.19079,1.19333,6075,17,0
1420477200,1.19333,1.19409,1.19163,1.19359,5847,17,0
1420480800,1.19356,1.1939,1.19147,1.1917,3975,17,0
1420484400,1.19171,1.1928,1.19117,1.19226,2712,17,0
1420488000,1.19224,1.1933799999999999,1.1914,1.19335,2439,17,0
1420491600,1.1934,1.19395,1.19329,1.19382,1930,17,0
1420495200,1.19381,1.1949,1.19358,1.19358,1921,17,0
1420498800,1.1936,1.19384,1.19317,1.19322,1087,17,0
1420502400,1.19323,1.19352,1.1926,1.19321,904,17,0
1420506000,1.19318,1.1939899999999999,1.19306,1.19366,1204,17,0
1420509600,1.19366,1.1942599999999999,1.19332,1.1942300000000001,1730,17,0
1420513200,1.19422,1.19456,1.19354,1.19402,1819,17,0
1420516800,1.19402,1.19541,1.194,1.19451,1967,17,0
1420520400,1.19451,1.19488,1.19398,1.19433,1407,17,0
1420524000,1.19434,1.19499,1.19419,1.1948,1517,17,0
1420527600,1.19479,1.19575,1.1945999999999999,1.19564,2234,17,0
1420531200,1.19564,1.1968,1.19523,1.19595,2366,17,0
1420534800,1.19596,1.19617,1.19407,1.19415,3317,17,0
1420538400,1.19415,1.19518,1.19212,1.19439,5075,17,0
1420542000,1.1944,1.19458,1.19042,1.19071,5516,17,0
1420545600,1.19071,1.19138,1.18947,1.18976,4261,17,0
1420549200,1.18976,1.19188,1.1887,1.18904,4869,17,0
1420552800,1.18905,1.19102,1.18834,1.19063,4637,17,0
1420556400,1.19063,1.19154,1.18947,1.19064,5340,17,0
1420560000,1.19067,1.19083,1.1886700000000001,1.1904,5327,17,0
1420563600,1.19049,1.19329,1.19049,1.19184,7189,17,0
1420567200,1.19183,1.19396,1.19153,1.19356,6480,17,0
1420570800,1.19354,1.19581,1.1920600000000001,1.19214,5953,17,0
1420574400,1.19215,1.1933,1.19215,1.19324,4320,17,0
1420578000,1.19324,1.19356,1.19112,1.19122,2868,17,0
1420581600,1.19122,1.1914,1.18878,1.18977,3844,17,0
