Time,open,high,low,close
2000-01-01 02:00:00,1.0088,1.0106,1.0061,1.0062
2000-01-03 06:00:00,1.0073,1.019,1.0073,1.0175
2000-01-03 10:00:00,1.0173,1.0181,1.0154,1.0157
2000-01-03 14:00:00,1.0154,1.0167,1.0093,1.0115
2000-01-03 18:00:00,1.0118,1.0118,1.0054,1.0073
2000-01-03 22:00:00,1.0077,1.024,1.007,1.0218
2000-01-04 02:00:00,1.0218,1.0278,1.0213,1.0246
2000-01-04 06:00:00,1.0243,1.0266,1.0233,1.0241
2000-01-04 10:00:00,1.0239,1.0266,1.0227,1.0241
2000-01-04 14:00:00,1.0234,1.0279,1.0213,1.0276
2000-01-04 18:00:00,1.0274,1.0336,1.0263,1.0326
2000-01-04 22:00:00,1.0331,1.034,1.0268,1.0281
2000-01-05 02:00:00,1.028,1.0314,1.0278,1.0292
2000-01-05 06:00:00,1.0293,1.03,1.0284,1.0292
2000-01-05 10:00:00,1.029,1.033,1.0286,1.0317
2000-01-05 14:00:00,1.0318,1.0402,1.0309,1.037
2000-01-05 18:00:00,1.0366,1.0389,1.0338,1.0371
2000-01-05 22:00:00,1.0369,1.0379,1.0314,1.033
2000-01-06 02:00:00,1.033,1.0332,1.0301,1.0326
2000-01-06 06:00:00,1.0325,1.0336,1.031,1.0318
2000-01-06 10:00:00,1.0317,1.0382,1.0315,1.0364
2000-01-06 14:00:00,1.0368,1.0368,1.0327,1.0352
2000-01-06 18:00:00,1.0354,1.0415,1.0349,1.0366
2000-01-06 22:00:00,1.0362,1.0368,1.0272,1.0299
2000-01-07 02:00:00,1.0298,1.0334,1.029,1.033
2000-01-07 06:00:00,1.0329,1.0332,1.0295,1.0304
2000-01-07 10:00:00,1.0305,1.0324,1.0288,1.0293
2000-01-07 14:00:00,1.0295,1.0323,1.0283,1.0306
2000-01-07 18:00:00,1.0305,1.0315,1.026,1.0288
2000-01-07 22:00:00,1.0289,1.0313,1.028,1.0289
2000-01-08 02:00:00,1.0286,1.03,1.0272,1.0298
2000-01-10 06:00:00,1.0286,1.0305,1.0274,1.0289
2000-01-10 10:00:00,1.029,1.0298,1.0272,1.0273
2000-01-10 14:00:00,1.0274,1.0282,1.0231,1.0247
2000-01-10 18:00:00,1.0245,1.0249,1.0211,1.0242
2000-01-10 22:00:00,1.0243,1.0275,1.0234,1.0269
2000-01-11 02:00:00,1.0268,1.0271,1.0246,1.0251
2000-01-11 06:00:00,1.0253,1.027,1.0246,1.0259
2000-01-11 10:00:00,1.0258,1.0296,1.0257,1.0295
2000-01-11 14:00:00,1.0295,1.0318,1.0279,1.0301
2000-01-11 18:00:00,1.0299,1.0308,1.0253,1.0285
2000-01-11 22:00:00,1.0285,1.0335,1.0282,1.0315
2000-01-12 02:00:00,1.0315,1.0341,1.0309,1.0336
2000-01-12 06:00:00,1.0337,1.0338,1.0319,1.0328
2000-01-12 10:00:00,1.0329,1.0356,1.0323,1.0332
2000-01-12 14:00:00,1.0331,1.037,1.0321,1.0335
2000-01-12 18:00:00,1.0328,1.0338,1.0275,1.0302
2000-01-12 22:00:00,1.0303,1.0313,1.0261,1.0308
2000-01-13 02:00:00,1.0308,1.032,1.0306,1.0308
2000-01-13 06:00:00,1.0309,1.0316,1.0293,1.0304
2000-01-13 10:00:00,1.0302,1.0305,1.0278,1.0293
2000-01-13 14:00:00,1.0292,1.0308,1.0281,1.0302
2000-01-13 18:00:00,1.0304,1.0305,1.0237,1.0264
2000-01-13 22:00:00,1.0262,1.0281,1.0249,1.0259
2000-01-14 02:00:00,1.026,1.0265,1.0252,1.026
2000-01-14 06:00:00,1.0261,1.0275,1.0235,1.026
2000-01-14 10:00:00,1.0265,1.027,1.0253,1.0255
2000-01-14 14:00:00,1.0253,1.0262,1.0229,1.0259
2000-01-14 18:00:00,1.0258,1.0261,1.0174,1.0194
2000-01-14 22:00:00,1.0189,1.0197,1.0114,1.0154
2000-01-15 02:00:00,1.0154,1.0157,1.0116,1.0122
2000-01-17 06:00:00,1.0129,1.014,1.012,1.0134
2000-01-17 10:00:00,1.0136,1.0148,1.012,1.0134
2000-01-17 14:00:00,1.0132,1.0142,1.0096,1.0123
2000-01-17 18:00:00,1.0119,1.0123,1.0069,1.0079
2000-01-17 22:00:00,1.0082,1.0123,1.0071,1.0122
2000-01-18 02:00:00,1.0121,1.0128,1.0107,1.0119
2000-01-18 06:00:00,1.0118,1.0126,1.0095,1.0103
2000-01-18 10:00:00,1.0099,1.0121,1.0091,1.0103
2000-01-18 14:00:00,1.0103,1.0142,1.0072,1.0081
2000-01-18 18:00:00,1.0081,1.012,1.0072,1.0103
2000-01-18 22:00:00,1.0097,1.0138,1.0091,1.0136
2000-01-19 02:00:00,1.0136,1.0154,1.0107,1.0152
2000-01-19 06:00:00,1.0152,1.0156,1.0134,1.0141
2000-01-19 10:00:00,1.0139,1.0165,1.0133,1.0147
2000-01-19 14:00:00,1.0145,1.0156,1.0103,1.0103
2000-01-19 18:00:00,1.0102,1.0117,1.0096,1.0109
2000-01-19 22:00:00,1.0109,1.0128,1.0085,1.0117
2000-01-20 02:00:00,1.0118,1.0135,1.0115,1.0125
2000-01-20 06:00:00,1.0126,1.0127,1.0108,1.0113
2000-01-20 10:00:00,1.0115,1.0122,1.0105,1.0117
2000-01-20 14:00:00,1.0116,1.0144,1.0082,1.0095
2000-01-20 18:00:00,1.0094,1.011,1.0073,1.0095
2000-01-20 22:00:00,1.0096,1.0188,1.0078,1.0168
2000-01-21 02:00:00,1.0175,1.0185,1.0154,1.0167
2000-01-21 06:00:00,1.0168,1.0178,1.0152,1.0159
2000-01-21 10:00:00,1.0158,1.0193,1.0155,1.0174
2000-01-21 14:00:00,1.0175,1.0188,1.0136,1.0145
2000-01-21 18:00:00,1.015,1.0153,1.005,1.0065
2000-01-21 22:00:00,1.0067,1.0103,1.0061,1.0096
2000-01-22 02:00:00,1.0095,1.0103,1.0084,1.0087
2000-01-24 06:00:00,1.0028,1.0054,1.0026,1.0045
2000-01-24 10:00:00,1.0048,1.0058,1.0017,1.0027
2000-01-24 14:00:00,1.0028,1.0069,1.0019,1.005
2000-01-24 18:00:00,1.005,1.0061,0.9997,1.0021
2000-01-24 22:00:00,1.0022,1.0042,1.0007,1.0029
2000-01-25 02:00:00,1.0027,1.0077,1.0017,1.0071
2000-01-25 06:00:00,1.007,1.0075,1.0057,1.0069
2000-01-25 10:00:00,1.0072,1.0096,1.007,1.0083
2000-01-25 14:00:00,1.0083,1.0092,1.0032,1.0034
2000-01-25 18:00:00,1.0035,1.0054,0.9992,1.0039
2000-01-25 22:00:00,1.0043,1.0072,1.0031,1.0038
2000-01-26 02:00:00,1.0037,1.004,1.0001,1.0012
2000-01-26 06:00:00,1.0012,1.0035,1.0009,1.0022
2000-01-26 10:00:00,1.0025,1.0029,1.0014,1.0022
2000-01-26 14:00:00,1.0022,1.0055,1.0001,1.0031
2000-01-26 18:00:00,1.0029,1.0034,1.0007,1.0015
2000-01-26 22:00:00,1.0013,1.0022,1.0,1.0006
2000-01-27 02:00:00,1.0005,1.0021,0.9995,1.0003
2000-01-27 06:00:00,1.0007,1.001,0.9989,1.0004
2000-01-27 10:00:00,1.0006,1.0015,0.9997,1.0013
2000-01-27 14:00:00,1.0011,1.003,0.9994,1.0005
2000-01-27 18:00:00,1.0006,1.0016,0.9906,0.9918
2000-01-27 22:00:00,0.9918,0.992,0.9868,0.988
2000-01-28 02:00:00,0.9883,0.9892,0.9872,0.9882
2000-01-28 06:00:00,0.9883,0.9895,0.9864,0.9873
2000-01-28 10:00:00,0.9874,0.9892,0.9866,0.9887
2000-01-28 14:00:00,0.9883,0.9888,0.9831,0.9857
2000-01-28 18:00:00,0.9853,0.987,0.9836,0.9846
2000-01-28 22:00:00,0.9842,0.9852,0.9736,0.9771
2000-01-29 02:00:00,0.9769,0.9785,0.9744,0.9749
2000-01-31 06:00:00,0.9773,0.9805,0.9772,0.9793
2000-01-31 10:00:00,0.9795,0.9822,0.9793,0.98
2000-01-31 14:00:00,0.9802,0.982,0.9784,0.9817
2000-01-31 18:00:00,0.9816,0.9829,0.9785,0.9794
