2017.03.01,00:00,1.23762,1.24028,1.22684,1.22686,66576
2017.03.02,00:00,1.22685,1.23058,1.22409,1.22718,57483
2017.03.03,00:00,1.22719,1.22979,1.22126,1.22927,58088
2017.03.05,00:00,1.22847,1.22987,1.22847,1.22983,1411
2017.03.06,00:00,1.22981,1.22981,1.22224,1.22372,50094
2017.03.07,00:00,1.22374,1.22510,1.21676,1.22019,49526
2017.03.08,00:00,1.22020,1.22122,1.21371,1.21720,50529
2017.03.09,00:00,1.21721,1.21932,1.21339,1.21540,64519
2017.03.10,00:00,1.21544,1.21867,1.21378,1.21610,56886
2017.03.12,00:00,1.21660,1.21695,1.21575,1.21686,1457
2017.03.13,00:00,1.21685,1.22492,1.21546,1.22044,59597
2017.03.14,00:00,1.22043,1.22125,1.21074,1.21551,52665
2017.03.15,00:00,1.21552,1.23072,1.21528,1.22802,64459
2017.03.16,00:00,1.22805,1.23752,1.22396,1.23485,63872
2017.03.17,00:00,1.23484,1.24029,1.23223,1.23937,50790
2017.03.19,00:00,1.23830,1.23865,1.23780,1.23820,1588
2017.03.20,00:00,1.23810,1.24345,1.23334,1.23651,62715
2017.03.21,00:00,1.23648,1.24924,1.23390,1.24803,57837
2017.03.22,00:00,1.24796,1.25046,1.24222,1.24694,54001
2017.03.23,00:00,1.24693,1.25293,1.24612,1.25147,52248
2017.03.24,00:00,1.25146,1.25158,1.24675,1.24705,42208
2017.03.26,00:00,1.24915,1.25191,1.24888,1.25116,3252
2017.03.27,00:00,1.25119,1.26134,1.25069,1.25558,47802
2017.03.28,00:00,1.25560,1.25947,1.24140,1.24150,48591
2017.03.29,00:00,1.24151,1.24741,1.23750,1.24385,57065
2017.03.30,00:00,1.24380,1.25226,1.24012,1.24749,48148
2017.03.31,00:00,1.24750,1.25548,1.24315,1.25429,54156
2017.04.02,00:00,1.25458,1.25540,1.25301,1.25385,2279
2017.04.03,00:00,1.25377,1.25524,1.24638,1.24889,45272
2017.04.04,00:00,1.24888,1.24938,1.24172,1.24376,47013
2017.04.05,00:00,1.24377,1.24962,1.24211,1.24853,49700
2017.04.06,00:00,1.24852,1.25034,1.24489,1.24668,40077
2017.04.07,00:00,1.24667,1.24761,1.23643,1.23708,48536
2017.04.09,00:00,1.23748,1.23834,1.23641,1.23726,3137
2017.04.10,00:00,1.23727,1.24270,1.23665,1.24215,33400
2017.04.11,00:00,1.24214,1.24927,1.24018,1.24874,41849
2017.04.12,00:00,1.24872,1.25480,1.24783,1.25470,47231
2017.04.13,00:00,1.25471,1.25722,1.24973,1.25025,44002
2017.04.14,00:00,1.25024,1.25331,1.24985,1.25216,30689
2017.04.16,00:00,1.25271,1.25346,1.25228,1.25338,2935
2017.04.17,00:00,1.25334,1.25943,1.25285,1.25548,26424
2017.04.18,00:00,1.25549,1.29031,1.25136,1.28421,62999
2017.04.19,00:00,1.28420,1.28574,1.27681,1.27798,53096
2017.04.20,00:00,1.27789,1.28455,1.27710,1.27985,45588
2017.04.21,00:00,1.27984,1.28327,1.27547,1.28057,40279
2017.04.23,00:00,1.28335,1.28356,1.28040,1.28214,4640
2017.04.24,00:00,1.28213,1.28314,1.27703,1.27759,48035
2017.04.25,00:00,1.27760,1.28439,1.27736,1.28305,45805
2017.04.26,00:00,1.28307,1.28614,1.28032,1.28466,48824
2017.04.27,00:00,1.28463,1.29156,1.28404,1.28908,48772
2017.04.28,00:00,1.28906,1.29635,1.28887,1.29448,48376
2017.04.30,00:00,1.29267,1.29426,1.29197,1.29300,3173
2017.05.01,00:00,1.29302,1.29348,1.28775,1.28951,25044
2017.05.02,00:00,1.28952,1.29396,1.28625,1.29390,38969
2017.05.03,00:00,1.29391,1.29460,1.28601,1.28708,45307
2017.05.04,00:00,1.28705,1.29298,1.28293,1.29236,44414
2017.05.05,00:00,1.29234,1.29820,1.28985,1.29738,43602
2017.05.07,00:00,1.29812,1.29870,1.29579,1.29665,3281
2017.05.08,00:00,1.29666,1.29842,1.29281,1.29391,44256
2017.05.09,00:00,1.29392,1.29588,1.29009,1.29466,51034
2017.05.10,00:00,1.29464,1.29862,1.29257,1.29276,48607
2017.05.11,00:00,1.29274,1.29466,1.28476,1.28870,48159
2017.05.12,00:00,1.28867,1.28977,1.28428,1.28843,43621
2017.05.14,00:00,1.28781,1.28911,1.28752,1.28821,5602
2017.05.15,00:00,1.28822,1.29388,1.28798,1.29001,42129
2017.05.16,00:00,1.29000,1.29555,1.28642,1.29149,52158
2017.05.17,00:00,1.29148,1.29886,1.29041,1.29688,57063
2017.05.18,00:00,1.29682,1.30457,1.28884,1.29526,70137
2017.05.19,00:00,1.29527,1.30381,1.29401,1.30335,42923
2017.05.21,00:00,1.30078,1.30233,1.30048,1.30079,2074
2017.05.22,00:00,1.30078,1.30409,1.29639,1.29902,47136
2017.05.23,00:00,1.29899,1.30319,1.29511,1.29542,56108
2017.05.24,00:00,1.29541,1.29972,1.29251,1.29760,52954
2017.05.25,00:00,1.29762,1.30130,1.29256,1.29282,46168
2017.05.26,00:00,1.29283,1.29287,1.27736,1.28007,50665
2017.05.28,00:00,1.27972,1.28156,1.27931,1.28122,2794
2017.05.29,00:00,1.28118,1.28484,1.28070,1.28127,33521
2017.05.30,00:00,1.28125,1.28863,1.27898,1.28068,48017
2017.05.31,00:00,1.28069,1.29192,1.27675,1.28741,58928
2017.06.01,00:00,1.28740,1.29139,1.28281,1.28848,48687
2017.06.02,00:00,1.28849,1.29017,1.28443,1.28882,43657
2017.06.04,00:00,1.28564,1.28757,1.28558,1.28659,4723
2017.06.05,00:00,1.28660,1.29388,1.28578,1.29040,37649
2017.06.06,00:00,1.29039,1.29477,1.28705,1.29045,43662
2017.06.07,00:00,1.29043,1.29660,1.28857,1.29613,51392
2017.06.08,00:00,1.29616,1.29761,1.27004,1.27220,65679
2017.06.09,00:00,1.27219,1.28009,1.26338,1.27397,76028
2017.06.11,00:00,1.27083,1.27447,1.27083,1.27418,3990
2017.06.12,00:00,1.27417,1.27674,1.26368,1.26675,46443
2017.06.13,00:00,1.26673,1.27548,1.26402,1.27464,49023
2017.06.14,00:00,1.27463,1.28157,1.27216,1.27521,65165
2017.06.15,00:00,1.27522,1.27939,1.26886,1.27584,57974
2017.06.16,00:00,1.27583,1.28035,1.27564,1.27742,43519
2017.06.18,00:00,1.27589,1.27776,1.27561,1.27723,3312
2017.06.19,00:00,1.27722,1.28125,1.27215,1.27290,42041
2017.06.20,00:00,1.27288,1.27560,1.26014,1.26304,48397
2017.06.21,00:00,1.26303,1.27080,1.25873,1.26728,46192
2017.06.22,00:00,1.26727,1.26895,1.26520,1.26762,40516
2017.06.23,00:00,1.26764,1.27422,1.26741,1.27170,35786
2017.06.25,00:00,1.27355,1.27434,1.27297,1.27432,2104
2017.06.26,00:00,1.27431,1.27579,1.27044,1.27217,38499
2017.06.27,00:00,1.27216,1.28595,1.27146,1.28111,49033
2017.06.28,00:00,1.28106,1.29700,1.27920,1.29379,59392
2017.06.29,00:00,1.29372,1.30127,1.29364,1.30068,51597
2017.06.30,00:00,1.30067,1.30280,1.29453,1.30247,46168
2017.07.02,00:00,1.29997,1.30218,1.29997,1.30139,1997
2017.07.03,00:00,1.30140,1.30205,1.29301,1.29466,44254
2017.07.04,00:00,1.29465,1.29568,1.29099,1.29337,43933
2017.07.05,00:00,1.29336,1.29463,1.28916,1.29290,47267
2017.07.06,00:00,1.29291,1.29819,1.29178,1.29665,44355
2017.07.07,00:00,1.29661,1.29729,1.28650,1.28804,43104
2017.07.09,00:00,1.28744,1.28898,1.28743,1.28889,2572
2017.07.10,00:00,1.28884,1.29063,1.28531,1.28787,32345
